编号	等级	中文名	建筑类型	天数	小时	分钟	建造时间	需求资源类型	建造花费	需求总部等级	体积	体积	最大储金量	最大储油量	储兵量	生产的资源	每小时生产资源	生产资源最大量	生产队列最大长度	建筑物最大血量	攻击范围	攻击速度	伤害	受击范围	受击范围	是否可以对空	是否可以对地	最小攻击范围	溅射范围	击退
ID	Level	Name	BuildingClass	BuildTimeD	BuildTimeH	BuildTimeM	BuildTime	BuildResource	BuildCost	TownHallLevel	Width	Height	MaxStoredGold	MaxStoredOil	HousingSpace	ProducesResource	ResourcePerHour	ResourceMax	UnitProduction	Hitpoints	AttackRange	AttackSpeed	Damage	BuildingW	BuildingH	AirTargets	GroundTargets	MinAttackRange	DamageRadius	PushBack
troop_house	1	营地	Army			5	5	Oil	250	1	5	5			20					400				2	2					
troop_house	2				1	0	60		2500	2					30					500										
troop_house	3				3	0	180		10000	3					35					600										
troop_house	4				8	0	480		100000	4					40					700										
troop_house	5			1	0	0	1440		250000	5					45					800										
troop_house	6			3	0	0	4320		750000	6					50					1000										
troop_house	7			5	0	0	7200		2250000	9					55					1200										
town_hall	1	基地	Town Hall			1	1	Gold	0		4	4	1000	1000						1500				3	3					
town_hall	2					5	5		1000				1000	1000						1600										
town_hall	3				3	0	180		4000				1000	1000						1850										
town_hall	4			1	0	0	1440		25000				1000	1000						2100										
town_hall	5			2	0	0	2880		150000				1000	1000						2400										
town_hall	6			4	0	0	5760		750000				1000	1000						2800										
town_hall	7			6	0	0	8640		1200000				1000	1000						3200										
town_hall	8			8	0	0	11520		2000000				1000	1000						3700										
town_hall	9			10	0	0	14400		4000000				1000	1000						4200										
oil_pump	1	石油生产基地	Resource			1	1	Gold	150	1	3	3				Oil	200	500		400				2	2					
oil_pump	2					5	5		300	1							400	1000		450										
oil_pump	3					15	15		700	2							600	1500		500										
oil_pump	4				1	0	60		1400	2							800	2500		550										
oil_pump	5				4	0	240		3500	3							1000	10000		590										
oil_pump	6				12	0	720		7000	3							1300	20000		610										
oil_pump	7			1	0	0	1440		14000	4							1600	30000		630										
oil_pump	8			2	0	0	2880		28000	4							1900	50000		660										
oil_pump	9			3	0	0	4320		56000	5							2200	75000		680										
oil_pump	10			4	0	0	5760		84000	5							2500	100000		710										
oil_pump	11			5	0	0	7200		168000	7							3000	150000		750										
oil_storage	1	石油储藏室	ResourceStorage			15	15	Gold	300	1	3	3		1500						400				2	2					
oil_storage	2					30	30		750	2				3000						600										
oil_storage	3				1	0	60		1500	2				6000						800										
oil_storage	4				2	0	120		3000	3				12000						1000										
oil_storage	5				3	0	180		6000	3				25000						1200										
oil_storage	6				4	0	240		12000	3				50000						1500										
oil_storage	7				6	0	360		25000	4				100000						1650										
oil_storage	8				8	0	480		50000	4				250000						1740										
oil_storage	9				12	0	720		100000	5				500000						1820										
oil_storage	10			1	0	0	1440		250000	6				1000000						1920										
oil_storage	11			2	0	0	2880		500000	7				2000000						2016										
gold_mine	1	金矿	Resource			1	1	Oil	150	1	3	3				Gold	200	500		400				2	2					
gold_mine	2					5	5		300	1							400	1000		450										
gold_mine	3					15	15		700	2							600	1500		500										
gold_mine	4				1	0	60		1400	2							800	2500		550										
gold_mine	5				4	0	240		3000	3							1000	10000		590										
gold_mine	6				12	0	720		7000	3							1300	20000		610										
gold_mine	7			1	0	0	1440		14000	4							1600	30000		630										
gold_mine	8			2	0	0	2880		28000	4							1900	50000		660										
gold_mine	9			3	0	0	4320		56000	5							2200	75000		680										
gold_mine	10			4	0	0	5760		84000	5							2500	100000		710										
gold_mine	11			5	0	0	7200		168000	7							3000	150000		750										
gold_storage	1	金币储藏室	ResourceStorage			15	15	Oil	300	1	3	3	1500							400				2	2					
gold_storage	2					30	30		750	2			3000							600										
gold_storage	3				1	0	60		1500	2			6000							800										
gold_storage	4				2	0	120		3000	3			12000							1000										
gold_storage	5				3	0	180		6000	3			25000							1200										
gold_storage	6				4	0	240		12000	3			50000							1500										
gold_storage	7				6	0	360		25000	4			100000							1650										
gold_storage	8				8	0	480		50000	4			250000							1740										
gold_storage	9				12	0	720		100000	5			500000							1820										
gold_storage	10			1	0	0	1440		250000	6			1000000							1920										
gold_storage	11			2	0	0	2880		500000	7			2000000							2016										
barrack	1	兵营	Army			1	1	Oil	200	1	3	3							20	250				2	2					
barrack	2					15	15		1000	1									25	270										
barrack	3				2		120		2500	1									30	280										
barrack	4				4	0	240		5000	2									35	290										
barrack	5				10	0	600		10000	3									40	310										
barrack	6				16	0	960		80000	4									45	320										
barrack	7			1	0	0	1440		240000	5									50	340										
