编号	等级	名称	占用人口	所需兵营等级	实验室等级	速度	生命值	训练时间	训练所需消耗资源类型	训练消耗数额	升级所需时间（小时）	升级所需资源类型	升级消耗数额	攻击范围	攻击速度	伤害	伤害半径	首要攻击建筑物类型	是否飞行	是否可以对空	是否可以对地	运动偏移量	运动偏移速度
ID	Level	Name	HousingSpace	BarrackLevel	LaboratoryLevel	Speed	Hitpoints	TrainingTime	TrainingResource	TrainingCost	UpgradeTimeH	UpgradeResource	UpgradeCost	AttackRange	AttackSpeed	Damage	DamageRadius	PreferedTargetBuildingClass	IsFlying	AirTargets	GroundTargets	MovementOffsetAmount	MovementOffsetSpeed
barbarian	1		1	1	1	200	45	20	Oil	25	6	Oil	50000	40	1000	8			0	0	1	0	0
barbarian	2				1		54			40	24		150000			11							
barbarian	3				3		65			60	72		500000			14							
barbarian	4				5		78			80	120		1500000			18							
barbarian	5				6		95			100	240		4500000			23							
barbarian	6				7		110			150						26							
archer	1		1	2	1	300	20	25	Oil	50	12	Oil	50000	350	1000	7			0	1	1	0	0
archer	2				1		23			80	48		250000			9							
archer	3				3		28			120	72		750000			12							
archer	4				5		33			160	120		2250000			16							
archer	5				6		40			200	336		7500000			20							
archer	6				7		44			300						22							
goblin	1		1	3	1	400	25	30	Oil	25	12	Oil	50000	40	1000	11		Resource	0	0	1	0	0
goblin	2				1		30			40	48		250000			14							
goblin	3				3		36			60	72		750000			19							
goblin	4				5		43			80	120		2250000			24							
goblin	5				6		52			100						32							
giant	1		5	4	1	150	300	120	Oil	500	24	Oil	100000	100	2000	11		Defense	0	0	1	0	0
giant	2				2		360			1000	48		250000			14							
giant	3				4		430			1500	72		750000			19							
giant	4				5		520			2000	120		2250000			24							
giant	5				6		670			2500	240		6000000			31							
giant	6				7		800			3000						37							
wall_breaker	1		2	5	1	300	20	120	Oil	1000	24	Oil	100000	50	1000	12	80	Wall	0	0	1	0	0
wall_breaker	2				2		24			1500	48		250000			16	80						
wall_breaker	3				4		29			2000	72		750000			24	80						
wall_breaker	4				5		35			2500	120		2250000			32	80						
wall_breaker	5				6		42			3000						46	80						
balloon	1		5	6	1	130	150	600	Oil	2000	24	Oil	150000	50	4000	25	120	Defense	1	0	1	20	20
balloon	2				2		180			2500	48		450000			32							
balloon	3				4		216			3000	72		1350000			48							
balloon	4				5		280			3500	120		2500000			72							
balloon	5				6		390			4000	240		6000000			108							
balloon	6				7		545			4500						162							
wizard	1		4	7	1	200	75	600	Oil	1500	24	Oil	150000	300	1500	50	30		0	1	1	0	0
wizard	2				3		90			2000	48		450000			70							
wizard	3				4		108			2500	72		1350000			90							
wizard	4				5		130			3000	120		2500000			125							
wizard	5				6		156			3500						170							
healer	1		20	8	1	200	500	1200	Oil	7000	72	Oil	750000	500	700	-35	200		1	0	1	8	50
healer	2				5		600			10000	120		2500000			-42							
healer	3				6		720			13000						-50							
dragon	1		20	9	1	200	1900	1800	Oil	25000	168	Oil	2000000	300	1500	140	30		1	1	1	10	15
dragon	2				5		2100			30000	240		3000000			160							
dragon	3				6		2300			36000						180							
pekka	1		25	10	1	200	2800	2700	Oil	30000	240	Oil	3000000	80	2500	240			0	0	1	0	0
pekka	2				6		3100			35000	288		6000000			270							
pekka	3				6		3400			42000						300							
