名称	变量名	变量值
	Key	Value
每日付费训练士兵次数(待制作，和VIP系统相关)	CashSoldierTrainDailyLimit	100
收获金币和粮食间隔	HarvestInterval	60
训练士兵产出概率1	SoldierOutput1	48
训练士兵产出概率2	SoldierOutput2	48
训练士兵产出概率3	SoldierOutput3	4
付费训练士兵产出概率1	SoldierOutputByCash1	30
付费训练士兵产出概率2	SoldierOutputByCash2	25
付费训练士兵产出概率3	SoldierOutputByCash3	20
付费训练士兵产出概率4	SoldierOutputByCash4	15
付费训练士兵产出概率5	SoldierOutputByCash5	10
绿色英雄兑换将魂需求	RoleRecallSoulgreen	2
蓝色英雄兑换将魂需求	RoleRecallSoulblue	16
紫色英雄兑换将魂需求	RoleRecallSoulpurple	128
橙色英雄兑换将魂需求	RoleRecallSoulorange	1024
每日免费百里挑一次数	Role100DailyLimit	5
绿色英雄拆魂	RoleToSoulgreen	5
蓝色英雄拆魂	RoleToSoulblue	5
紫色英雄拆魂	RoleToSoulpurple	5
橙色英雄拆魂	RoleToSoulorange	5
英雄技能最大等级	RoleSkillLevelMax	10
洗点一次资源需求	RoleRefineResource	1
让贤金币消耗	RoleTransferGold	100
让贤元宝消耗	RoleTransferCash	10
金币让贤经验获得	RoleTransferGoldXp	80
元宝让贤经验获得	RoleTransferCashXp	100
加速训练元宝消耗	RoleTrainCashPerHour	10
