基地等级	攻击花费金钱	营地数量	石油储藏室数量	金币储藏室数量	石油生产基地数量	金矿数量	兵营数量	加农炮数量	城墙数量	箭塔数量	法师塔数量	防空塔数量	大炮数量	联军城堡数量	弹簧陷阱	超级炸弹数量	民房数量	实验室数量	电塔数量
Level	MatchGame	troop_house	oil_storage	gold_storage	oil_pump	gold_mine	barrack	cannon	wall	archer_tower	wizard_tower	air_defense	mortar	alliance_castle	ejector	superbomb	worker_house	laboratory	tesla_tower
1	10	1	1	1	1	1	1	2	0	0	0	0	0	1	0	0	5	0	0
2	50	1	1	1	2	2	2	2	25	1	0	0	0	1	0	0	5	0	0
3	75	2	2	2	3	3	2	2	50	1	0	0	1	1	0	0	5	1	0
4	110	2	2	2	4	4	3	2	75	2	0	1	1	1	2	0	5	1	0
5	170	3	2	2	5	5	3	3	100	3	1	1	1	1	2	0	5	1	0
6	250	3	2	2	6	6	3	3	125	3	2	1	2	1	4	1	5	1	0
7	380	4	2	2	6	6	4	5	150	4	2	2	3	1	4	2	5	1	2
8	580	4	3	3	6	6	4	5	200	5	3	2	3	1	6	3	5	1	3
9	750	4	4	4	6	6	4	5	225	6	3	3	3	1	6	4	5	1	4
